title
"title: Vendetta: Truth, Lies and The Mafia;actors: empty;release_year: 2021;rating: TV-MA;description: Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?;"
"title: Bangkok Breaking;actors: Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul;release_year: 2021;rating: TV-MA;description: Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.;"
"title: Je Suis Karl;actors: Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová;release_year: 2021;rating: TV-MA;description: After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.;"
"title: Confessions of an Invisible Girl;actors: Klara Castanho, Lucca Picon, Júlia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo;release_year: 2021;rating: TV-PG;description: When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.;"
title: Crime Stories: India Detectives;actors: empty;release_year: 2021;rating: TV-MA;description: Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.;
"title: Dear White People;actors: Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito;release_year: 2021;rating: TV-MA;description: Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.;"
"title: Europe's Most Dangerous Man: Otto Skorzeny in Spain;actors: empty;release_year: 2020;rating: TV-MA;description: Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.;"
"title: Falsa identidad;actors: Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas;release_year: 2020;rating: TV-MA;description: Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.;"
"title: Intrusion;actors: Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain;release_year: 2021;rating: TV-14;description: After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.;"
"title: Jaguar;actors: Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski;release_year: 2021;rating: TV-MA;description: In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.;"
"title: Monsters Inside: The 24 Faces of Billy Milligan;actors: empty;release_year: 2021;rating: TV-14;description: In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.;"
"title: Resurrection: Ertugrul;actors: Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı;release_year: 2018;rating: TV-14;description: When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.;"
"title: Avvai Shanmughi;actors: Kamal Hassan, Meena, Gemini Ganesan, Heera Rajgopal, Nassar, S.P. Balasubrahmanyam;release_year: 1996;rating: TV-PG;description: Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.;"
"title: Go! Go! Cory Carson: Chrissy Takes the Wheel;actors: Maisie Benson, Paul Killam, Kerry Gudjohnsen, AC Lim;release_year: 2021;rating: TV-Y;description: From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!;"
"title: Jeans;actors: Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar;release_year: 1998;rating: TV-14;description: When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.;"
"title: Love on the Spectrum;actors: Brooke Satchwell;release_year: 2021;rating: TV-14;description: Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.;"
"title: Minsara Kanavu;actors: Arvind Swamy, Kajol, Prabhu Deva, Nassar, S.P. Balasubrahmanyam, Girish Karnad;release_year: 1997;rating: TV-PG;description: A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.;"
"title: Grown Ups;actors: Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten;release_year: 2010;rating: PG-13;description: Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.;"
"title: Dark Skies;actors: Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan;release_year: 2013;rating: PG-13;description: A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.;"
"title: Paranoia;actors: Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan;release_year: 2013;rating: PG-13;description: Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.;"
"title: Ankahi Kahaniya;actors: Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh;release_year: 2021;rating: TV-14;description: As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.;"
"title: Chicago Party Aunt;actors: Lauren Ash, Rory O'Malley, RuPaul Charles, Jill Talley, Ike Barinholtz, Jon Barinholtz, Matthew Craig, Bob Odenkirk, Mike Hagerty, Katie Rich, Chris Witaske;release_year: 2021;rating: TV-MA;description: Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.;"
"title: Sex Education;actors: Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie;release_year: 2020;rating: TV-MA;description: Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.;"
"title: Squid Game;actors: Lee Jung-jae, Park Hae-soo, Wi Ha-jun, Oh Young-soo, Jung Ho-yeon, Heo Sung-tae, Kim Joo-ryoung, Tripathi Anupam, You Seong-joo, Lee You-mi;release_year: 2021;rating: TV-MA;description: Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.;"
"title: Tayo and Little Wizards;actors: Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim;release_year: 2020;rating: TV-Y7;description: Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.;"
"title: The Father Who Moves Mountains;actors: Adrian Titieni, Elena Purea, Judith State, Valeriu Andriuță, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota;release_year: 2021;rating: TV-MA;description: When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.;"
"title: The Stronghold;actors: Gilles Lellouche, Karim Leklou, François Civil, Adèle Exarchopoulos, Kenza Fortas, Cyril Lecomte, Michaël Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot;release_year: 2021;rating: TV-MA;description: Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.;"
"title: Angry Birds;actors: Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen;release_year: 2018;rating: TV-Y7;description: Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.;"
"title: Birth of the Dragon;actors: Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia;release_year: 2017;rating: PG-13;description: A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.;"
"title: Chhota Bheem;actors: Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil;release_year: 2021;rating: TV-Y7;description: A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.;"
"title: He-Man and the Masters of the Universe;actors: Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore;release_year: 2021;rating: TV-Y7;description: Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.;"
"title: Jaws;actors: Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman;release_year: 1975;rating: PG;description: When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.;"
"title: Jaws 2;actors: Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French;release_year: 1978;rating: PG;description: Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.;"
"title: Jaws 3;actors: Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer;release_year: 1983;rating: PG;description: After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.;"
"title: Jaws: The Revenge;actors: Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield;release_year: 1987;rating: PG-13;description: After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.;"
"title: My Heroes Were Cowboys;actors: empty;release_year: 2021;rating: PG;description: Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.;"
"title: Safe House;actors: Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman;release_year: 2012;rating: R;description: Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.;"
"title: The Smart Money Woman;actors: Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju, Toni Tones, Ebenezer Eno, Eso Okolocha DIke, Patrick Diabuah, Karibi Fubara, Temisan Emmanuel, Timini Egbuson;release_year: 2020;rating: TV-MA;description: Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.;"
"title: Training Day;actors: Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes;release_year: 2001;rating: R;description: A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.;"
"title: Castle and Castle;actors: Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi;release_year: 2021;rating: TV-MA;description: A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.;"
"title: Dharmakshetra;actors: Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai;release_year: 2014;rating: TV-PG;description: After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.;"
"title: InuYasha the Movie 2: The Castle Beyond the Looking Glass;actors: Kappei Yamaguchi, Satsuki Yukino, Mieko Harada, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ogami;release_year: 2002;rating: TV-14;description: With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.;"
"title: InuYasha the Movie 3: Swords of an Honorable Ruler;actors: Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue;release_year: 2003;rating: TV-14;description: The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.;"
"title: InuYasha the Movie 4: Fire on the Mystic Island;actors: Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna;release_year: 2004;rating: TV-PG;description: Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.;"
"title: InuYasha the Movie: Affections Touching Across Time;actors: Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Kenichi Ogata, Noriko Hidaka, Hisako Kyoda, Ken Narita, Tomokazu Seki;release_year: 2001;rating: TV-PG;description: A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.;"
"title: Nailed It;actors: Nicole Byer, Jacques Torres;release_year: 2021;rating: TV-PG;description: Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.;"
"title: Naruto Shippuden the Movie: Blood Prison;actors: Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki;release_year: 2011;rating: TV-14;description: Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.;"
"title: Naruto Shippûden the Movie: Bonds;actors: Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Unsho Ishizuka, Motoko Kumai, Kazuhiko Inoue, Rikiya Koyama, Showtaro Morikubo, Nana Mizuki, Satoshi Hino, Shinji Kawada;release_year: 2008;rating: TV-PG;description: When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.;"
"title: Naruto Shippûden the Movie: The Will of Fire;actors: Junko Takeuchi, Chie Nakamura, Kazuhiko Inoue, Satoshi Hino, Showtaro Morikubo, Kentaro Ito, Ryoka Yuzuki, Kohsuke Toriumi, Nana Mizuki, Shinji Kawada, Yoichi Masukawa, Koichi Tochika, Yukari Tamura;release_year: 2009;rating: TV-PG;description: When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.;"
"title: Naruto Shippuden: The Movie;actors: Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Koichi Tochika, Ayumi Fujimura, Keisuke Oda, Daisuke Kishio, Fumiko Orikasa, Hidetoshi Nakamura, Tetsuya Kakihara, Kisho Taniyama, Miyuki Sawashiro, Katsuyuki Konishi, Masako Katsuki, Keiko Nemoto, Masashi Ebara, Kazuhiko Inoue, Showtaro Morikubo, Romi Park, Daisuke Ono, Seizo Kato;release_year: 2007;rating: TV-PG;description: The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.;"
"title: Naruto Shippuden: The Movie: The Lost Tower;actors: Junko Takeuchi, Chie Nakamura, Satoshi Hino, Rikiya Koyama, Nobuaki Fukuda, Kenji Hamada, Keiko Nemoto, Saori Hayami, Yumi Toma, Yuko Kobayashi, Fujiko Takimoto, Mutsumi Tamura, Mayuki Makiguchi, Toshiyuki Morikawa;release_year: 2010;rating: TV-14;description: When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.;"
"title: Naruto the Movie 2: Legend of the Stone of Gelel;actors: Junko Takeuchi, Gamon Kaai, Chie Nakamura, Showtaro Morikubo, Akira Ishida, Yasuyuki Kase, Urara Takano, Sachiko Kojima, Houko Kuwashima, Takako Honda;release_year: 2005;rating: TV-PG;description: While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.;"
"title: Naruto the Movie 3: Guardians of the Crescent Moon Kingdom;actors: Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Kazuhiko Inoue, Akio Otsuka, Kyousuke Ikeda, Marika Hayashi, Umeji Sasaki, Masashi Sugawara, Hisao Egawa;release_year: 2006;rating: TV-PG;description: Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.;"
"title: Naruto the Movie: Ninja Clash in the Land of Snow;actors: Junko Takeuchi, Noriaki Sugiyama, Chie Nakamura, Kazuhiko Inoue, Yuhko Kaida, Tsutomu Isobe, Hirotaka Suzuoki, Jun Karasawa, Harii Kaneko, Ikuo Nishikawa;release_year: 2004;rating: TV-PG;description: Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.;"
"title: Nightbooks;actors: Winslow Fegley, Lidya Jewett, Krysten Ritter;release_year: 2021;rating: TV-PG;description: Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.;"
"title: Numberblocks;actors: Beth Chalmers, David Holt, Marcel McCalla, Teresa Gallagher;release_year: 2021;rating: TV-Y;description: In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.;"
"title: Raja Rasoi Aur Anya Kahaniyan;actors: empty;release_year: 2014;rating: TV-G;description: Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.;"
"title: Saved by the Bell;actors: Mark-Paul Gosselaar, Tiffani Thiessen, Mario Lopez, Lark Voorhies, Elizabeth Berkley, Dustin Diamond, Dennis Haskins;release_year: 1994;rating: TV-PG;description: From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series.;"
"title: Schumacher;actors: Michael Schumacher;release_year: 2021;rating: TV-14;description: Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.;"
title: Stories by Rabindranath Tagore;actors: empty;release_year: 2015;rating: TV-PG;description: The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.;
"title: Too Hot To Handle: Latino;actors: Itatí Cantoral;release_year: 2021;rating: TV-MA;description: On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.;"
"title: A StoryBots Space Adventure;actors: Evan Spiridellis, Erin Fitzgerald, Jeff Gill, Fred Tatasciore, Evan Michael Lee, Jared Isaacman, Sian Proctor, Chris Sembroski, Hayley Arceneaux;release_year: 2021;rating: TV-Y;description: Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.;"
"title: Jack Whitehall: Travels with My Father;actors: Jack Whitehall, Michael Whitehall;release_year: 2021;rating: TV-MA;description: Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.;"
"title: King of Boys;actors: Sola Sobowale, Adesua Etomi, Remilekun ""Reminisce"" Safaru, Tobechukwu ""iLLbliss"" Ejiofor, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja;release_year: 2018;rating: TV-MA;description: When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.;"
"title: The World's Most Amazing Vacation Rentals;actors: empty;release_year: 2021;rating: TV-PG;description: With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.;"
"title: You vs. Wild: Out Cold;actors: Bear Grylls, Jason Derek Prempeh;release_year: 2021;rating: TV-G;description: After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.;"
"title: Yowamushi Pedal;actors: Daiki Yamashita, Kohsuke Toriumi, Jun Fukushima, Hiroki Yasumoto, Showtaro Morikubo, Kentaro Ito, Daisuke Kishio, Yoshitsugu Matsuoka, Junichi Suwabe, Ayaka Suwa, Megumi Han, Tomoaki Maeno, Tsubasa Yonaga, Tetsuya Kakihara, Satoshi Hino, Hiroyuki Yoshino, Atsushi Abe, Koji Yusa, Kouki Miyata, Hiro Shimono, Wataru Hatano, Yuichi Nakamura, Kenji Nojima, Mamoru Miyano, Daisuke Ono, Yuma Uchida, Jun Fukuyama;release_year: 2013;rating: TV-14;description: A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent.;"
"title: Little Singham - Black Shadow;actors: Sumriddhi Shukla, Jigna Bharadwaj, Sonal Kaushal, Neshma Chemburkar, Ganesh Divekar, Annamaya Verma, Anamay Verma, Manoj Pandey;release_year: 2021;rating: TV-Y7;description: Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?;"
"title: Tughlaq Durbar;actors: Vijay Sethupathi, Parthiban, Raashi Khanna;release_year: 2020;rating: TV-14;description: A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.;"
"title: Tughlaq Durbar (Telugu);actors: Vijay Sethupathi, Parthiban, Raashi Khanna;release_year: 2021;rating: TV-14;description: A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.;"
"title: Firedrake the Silver Dragon;actors: Thomas Brodie-Sangster, Felicity Jones, Freddie Highmore, Patrick Stewart, Meera Syal, Sanjeev Bhaskar, Nonso Anozie;release_year: 2021;rating: TV-Y7;description: When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.;"
"title: Kate;actors: Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau;release_year: 2021;rating: R;description: Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.;"
"title: Lucifer;actors: Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside, Lesley-Ann Brandt, Scarlett Estevez, Rachael Harris, Aimee Garcia, Tricia Helfer, Tom Welling, Jeremiah W. Birkett, Pej Vahdat, Michael Gladis;release_year: 2021;rating: TV-14;description: Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.;"
"title: Metal Shop Masters;actors: Jo Koy;release_year: 2021;rating: TV-MA;description: On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize.;"
"title: Omo Ghetto: the Saga;actors: Funke Akindele, Ayo Makun, Chioma Chukwuka Akpotha, Yemi Eberechi Alade, Blossom Chukwujekwu, Deyemi Okanlawon, Alexx Ekubo, Zubby Michael, Tina Mba, Femi Jacobs;release_year: 2020;rating: TV-MA;description: Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.;"
